Date,Price (Rs/Qtl)
2025-01-03,"Rs. 2,900.00"
2025-01-04,"Rs. 2,900.00"
2025-01-06,"Rs. 2,900.00"
2025-01-07,"Rs. 2,900.00"
2025-01-10,"Rs. 2,900.00"
2025-01-11,"Rs. 2,900.00"
2025-01-15,"Rs. 2,900.00"
2025-01-16,"Rs. 2,900.00"
2025-01-17,"Rs. 2,900.00"
2025-01-18,"Rs. 2,900.00"
2025-01-19,"Rs. 2,900.00"
2025-01-20,"Rs. 2,900.00"
2025-01-21,"Rs. 2,900.00"
2025-01-22,"Rs. 2,900.00"
2025-01-23,"Rs. 2,900.00"
2025-01-24,"Rs. 2,900.00"
2025-01-25,"Rs. 2,900.00"
2025-01-26,"Rs. 2,900.00"
2025-01-27,"Rs. 2,900.00"
2025-01-28,"Rs. 2,900.00"
2025-01-29,"Rs. 2,900.00"
2025-01-30,"Rs. 2,900.00"
2025-01-31,"Rs. 2,900.00"
2025-02-01,"Rs. 2,950.00"
2025-02-02,"Rs. 2,950.00"
2025-02-03,"Rs. 2,950.00"
2025-02-04,"Rs. 2,950.00"
2025-02-05,"Rs. 2,950.00"
2025-02-06,"Rs. 3,000.00"
2025-02-07,"Rs. 3,000.00"
2025-02-08,"Rs. 3,000.00"
2025-02-09,"Rs. 3,000.00"
2025-02-10,"Rs. 3,000.00"
2025-02-11,"Rs. 3,000.00"
2025-02-12,"Rs. 3,000.00"
2025-02-13,"Rs. 2,750.00"
2025-02-14,"Rs. 2,730.00"
2025-02-15,"Rs. 2,750.00"
2025-02-16,"Rs. 2,750.00"
2025-02-17,"Rs. 2,760.00"
2025-02-18,"Rs. 2,750.00"
2025-02-19,"Rs. 2,750.00"
2025-02-20,"Rs. 2,750.00"
2025-02-21,"Rs. 2,750.00"
2025-02-22,"Rs. 2,750.00"
2025-02-23,"Rs. 2,750.00"
2025-02-24,"Rs. 2,750.00"
2025-02-25,"Rs. 2,750.00"
2025-02-27,"Rs. 2,750.00"
2025-02-28,"Rs. 2,750.00"
2025-03-01,"Rs. 2,720.00"
2025-03-05,"Rs. 2,720.00"
2025-03-06,"Rs. 2,720.00"
2025-03-08,"Rs. 2,720.00"
2025-03-09,"Rs. 2,720.00"
2025-03-10,"Rs. 2,720.00"
2025-03-11,"Rs. 2,720.00"
2025-03-12,"Rs. 2,720.00"
2025-03-14,"Rs. 2,630.00"
2025-03-15,"Rs. 2,630.00"
2025-03-16,"Rs. 2,650.00"
2025-03-17,"Rs. 2,650.00"
2025-03-18,"Rs. 2,650.00"
2025-03-19,"Rs. 2,630.00"
2025-03-21,"Rs. 2,650.00"
2025-03-22,"Rs. 2,650.00"
2025-03-23,"Rs. 2,680.00"
2025-03-24,"Rs. 2,680.00"
2025-03-25,"Rs. 2,680.00"
2025-03-26,"Rs. 2,680.00"
2025-03-27,"Rs. 2,680.00"
2025-03-28,"Rs. 2,680.00"
2025-03-30,"Rs. 2,570.00"
2025-03-31,"Rs. 2,570.00"
2025-04-01,"Rs. 2,470.00"
2025-04-03,"Rs. 2,429.00"
2025-04-04,"Rs. 2,429.00"
2025-04-05,"Rs. 2,432.00"
2025-04-06,"Rs. 2,429.00"
2025-04-07,"Rs. 2,429.00"
2025-04-08,"Rs. 2,429.00"
2025-04-09,"Rs. 2,432.00"
2025-04-10,"Rs. 2,429.00"
2025-04-11,"Rs. 2,429.00"
2025-04-12,"Rs. 2,429.00"
2025-04-14,"Rs. 2,430.00"
2025-04-15,"Rs. 2,430.00"
2025-04-16,"Rs. 2,430.00"
2025-04-17,"Rs. 2,430.00"
2025-04-18,"Rs. 2,429.00"
2025-04-20,"Rs. 2,429.00"
2025-04-21,"Rs. 2,429.00"
2025-04-22,"Rs. 2,430.00"
2025-04-23,"Rs. 2,429.00"
2025-04-24,"Rs. 2,440.00"
2025-04-27,"Rs. 2,446.00"
2025-04-28,"Rs. 2,446.00"
2025-05-01,"Rs. 2,440.00"
2025-05-02,"Rs. 2,440.00"
2025-05-05,"Rs. 2,443.00"
2025-05-06,"Rs. 2,443.00"
2025-05-07,"Rs. 2,445.00"
2025-05-08,"Rs. 2,445.00"
2025-05-09,"Rs. 2,445.00"
2025-05-10,"Rs. 2,445.00"
2025-05-11,"Rs. 2,445.00"
2025-05-12,"Rs. 2,445.00"
2025-05-13,"Rs. 2,445.00"
2025-05-16,"Rs. 2,483.00"
2025-05-17,"Rs. 2,483.00"
2025-05-19,"Rs. 2,480.00"
2025-05-20,"Rs. 2,480.00"
2025-05-21,"Rs. 2,501.00"
2025-05-22,"Rs. 2,502.00"
2025-05-23,"Rs. 2,511.00"
2025-05-26,"Rs. 2,523.00"
2025-05-27,"Rs. 2,550.00"
2025-05-28,"Rs. 2,518.00"
2025-05-29,"Rs. 2,518.00"
2025-05-30,"Rs. 2,518.00"
2025-06-02,"Rs. 2,510.00"
2025-06-03,"Rs. 2,510.00"
2025-06-04,"Rs. 2,510.00"
2025-06-05,"Rs. 2,510.00"
2025-06-06,"Rs. 2,510.00"
2025-06-08,"Rs. 2,510.00"
2025-06-09,"Rs. 2,510.00"
2025-06-10,"Rs. 2,510.00"
2025-06-11,"Rs. 2,510.00"
2025-06-13,"Rs. 2,510.00"
2025-06-14,"Rs. 2,510.00"
2025-06-15,"Rs. 2,510.00"
2025-06-16,"Rs. 2,510.00"
2025-06-17,"Rs. 2,510.00"
2025-06-18,"Rs. 2,510.00"
2025-06-19,"Rs. 2,510.00"
2025-06-20,"Rs. 2,510.00"
2025-06-21,"Rs. 2,510.00"
2025-06-23,"Rs. 2,510.00"
2025-06-24,"Rs. 2,510.00"
2025-06-30,"Rs. 2,510.00"
